Data is in nanoseconds (divide by 1000000 to get milliseconds, 10^9 to get seconds.)
Job#,CPU#,AvgWaitTime,AvgCompletionTime,AvgRunTime
4,3,2020741,4468149,2447408,
1,0,1848890,4581928,2733038,
3,2,2007310,4644743,2637433,
2,1,1991112,4698471,2707359,
8,1,4737582,6398028,1660446,
7,2,4727311,6487706,1760395,
5,3,4576792,6539459,1962667,
6,0,4709138,6586472,1877334,
11,3,6613731,8453929,1840198,
10,2,6597533,8511213,1913680,
9,1,6432002,8560595,2128593,
12,0,6624003,8594966,1970963,
13,3,8606818,10401980,1795162,
15,1,8646719,10440695,1793976,
14,2,8633683,10467955,1834272,
16,0,38716,1835458,1796742,
18,1,111013,1906569,1795556,
17,3,81778,1945285,1863507,
19,2,121679,1968594,1846915,
23,2,2012840,3868446,1855606,
20,0,1980050,3913088,1933038,
21,1,1995852,3969977,1974125,
22,3,2004939,4050965,2046026,
25,0,4006718,5865089,1858371,
24,2,3986965,5931460,1944495,
27,3,4069927,5950027,1880100,
26,1,4017779,5980051,1962272,
30,3,6076447,7861337,1784890,
29,2,6025484,7900843,1875359,
28,0,5995064,7938769,1943705,
Avg For All Jobs, After running 1 iterations:
  ,4043287,6024075,1980788
  ,0.0040432872000000005,0.006024074900000001,0.0019807877
